Year,From_district,From_area,To_district,To_area,Amount
,Северо-Западный,Сёла,Приволж-Ский,Сёла,990
,Северо-Кавказский,Сёла,Приволж-Ский,Сёла,"1,047"
,Сибирский,Сёла,Приволж-Ский,Сёла,794
,Уральский,Сёла,Приволж-Ский,Сёла,"2,081"
,Центральный,Сёла,Приволж-Ский,Сёла,"3,340"
,Южный,Сёла,Приволж-Ский,Сёла,"1,531"
,Дальневосточный,Сёла,Северо-Западный,Сёла,204
,Приволжский,Сёла,Северо-Западный,Сёла,"1,405"
,Северо-Западный,Сёла,Северо-Западный,Сёла,"20,514"
,Северо-Кавказский,Сёла,Северо-Западный,Сёла,748
,Сибирский,Сёла,Северо-Западный,Сёла,581
,Уральский,Сёла,Северо-Западный,Сёла,253
,Центральный,Сёла,Северо-Западный,Сёла,"2,064"
,Южный,Сёла,Северо-Западный,Сёла,"1,035"
,Дальневосточный,Сёла,Северо-Кавказ-Ский,Сёла,184
,Приволжский,Сёла,Северо-Кавказ-Ский,Сёла,904
,Северо-Западный,Сёла,Северо-Кавказ-Ский,Сёла,483
,Северо-Кавказский,Сёла,Северо-Кавказ-Ский,Сёла,"23,796"
,Сибирский,Сёла,Северо-Кавказ-Ский,Сёла,385
,Уральский,Сёла,Северо-Кавказ-Ский,Сёла,496
,Центральный,Сёла,Северо-Кавказ-Ский,Сёла,"1,458"
,Южный,Сёла,Северо-Кавказ-Ский,Сёла,"3,413"
,Дальневосточный,Сёла,Сибир-Ский,Сёла,802
,Приволжский,Сёла,Сибир-Ский,Сёла,641
,Северо-Западный,Сёла,Сибир-Ский,Сёла,242
,Северо-Кавказский,Сёла,Сибир-Ский,Сёла,339
,Сибирский,Сёла,Сибир-Ский,Сёла,"57,195"
,Уральский,Сёла,Сибир-Ский,Сёла,763
,Центральный,Сёла,Сибир-Ский,Сёла,772
,Южный,Сёла,Сибир-Ский,Сёла,862
,Дальневосточный,Сёла,Ураль-Ский,Сёла,149
,Приволжский,Сёла,Ураль-Ский,Сёла,"2,020"
,Северо-Западный,Сёла,Ураль-Ский,Сёла,162
,Северо-Кавказский,Сёла,Ураль-Ский,Сёла,455
,Сибирский,Сёла,Ураль-Ский,Сёла,937
,Уральский,Сёла,Ураль-Ский,Сёла,"20,140"
,Центральный,Сёла,Ураль-Ский,Сёла,465
,Южный,Сёла,Ураль-Ский,Сёла,726
,Дальневосточный,Сёла,Централь-Ный,Сёла,509
,Приволжский,Сёла,Централь-Ный,Сёла,"4,661"
,Северо-Западный,Сёла,Централь-Ный,Сёла,"1,924"
,Северо-Кавказский,Сёла,Централь-Ный,Сёла,"2,213"
,Сибирский,Сёла,Централь-Ный,Сёла,"1,362"
,Уральский,Сёла,Централь-Ный,Сёла,740
,Центральный,Сёла,Централь-Ный,Сёла,"53,622"
,Южный,Сёла,Централь-Ный,Сёла,"3,371"
,Дальневосточный,Сёла,Южный,Сёла,886
,Приволжский,Сёла,Южный,Сёла,"2,294"
,Северо-Западный,Сёла,Южный,Сёла,910
,Северо-Кавказский,Сёла,Южный,Сёла,"4,434"
,Сибирский,Сёла,Южный,Сёла,"1,861"
,Уральский,Сёла,Южный,Сёла,"1,066"
,Центральный,Сёла,Южный,Сёла,"3,368"
,Южный,Сёла,Южный,Сёла,"39,779"
